case,speaker,content,is_fraud
案例-0,郑某,嘿，听说你们对虚拟货币有兴趣，我这里有个好机会，可以高价出售一些虚拟货币给你们。,True
案例-0,受害者1,哇，真的吗？虚拟货币的价格一直在涨，这可是个赚钱的好机会。,False
案例-0,郑某,是的，现在正是个好时机。你们要是想购买的话，我可以提供给你们一个特殊的交易方法来转移资金。,True
案例-0,受害者2,特殊的交易方法？具体是什么？,False
案例-0,郑某,我有一支“跑分”车队，他们可以帮助你们将资金转移到境外账户，这样可以避免资金被查封。,True
案例-0,受害者3,听起来靠谱，这个“跑分”车队怎么联系？,False
案例-0,郑某,不用担心，我会给你们提供车队的联系方式。不过在转移资金之前，你们需要先通过虚拟货币洗白网络赌博、电信诈骗等方式来获取非法资金。,True
案例-0,受害者1,这听起来有些风险啊，我们会不会被抓？,False
案例-0,郑某,别担心，我有一套完善的转移方案，可以确保你们的身份和资金安全。只要按照我的指示操作，一切都会顺利进行。,True
案例-0,受害者2,好吧，既然你这么说，我们就相信你了。请告诉我们详细的操作步骤。,False
案例-0,郑某,首先，你们需要在特定的时间和地点购买虚拟货币，然后按照我的指示转移资金到指定的账户。最后，我们会通过虚拟货币兑换成现金，然后转移到境外账户。,True
案例-0,受害者3,这听起来好像一场大抢劫啊，你确定这样做是合法的吗？,False
案例-0,郑某,当然合法，我是专业人士，知道如何规避风险和法律的监控。你们只需要按照我的指示操作，不要让任何人知道你们的行动，就能安全完成交易。,True
案例-1,周某,你好，我在某短视频平台上认识了一个自称是股票老师的网友，他叫老沈。老沈每天在群里讲股票知识和如何炒虚拟货币赚钱，听起来挺有道理的。,False
案例-1,袁某,是吗？那个平台上的股票老师都很厉害，赚钱也不是什么难事。,True
案例-1,周某,是吗？那你觉得我也可以赚钱吗？,False
案例-1,袁某,当然可以了，我可以教你一些炒虚拟货币的技巧，帮你赚大钱。,True
案例-1,周某,真的吗？那我该怎么做呢？,False
案例-1,袁某,你需要下载一个虚拟货币交易平台的App，然后加入我们的群。我会在群里指导你进行操作。,True
案例-1,周某,好的，我会按照你的指导去做。,False
案例-1,袁某,不用担心，我会给你发送一些炒虚拟货币盈利的截图，让你看看这个平台的可信度。,True
案例-1,周某,太好了，我很期待。我已经下载好了App，准备进入群中。,False
案例-1,袁某,很好，你需要添加群里的金牌专员，然后将一定金额转账给他。之后，你就可以在平台上买卖虚拟货币，并且可以提现。,True
案例-1,周某,好的，我已经按照你的指示转账了。我现在可以开始交易了吗？,False
案例-1,袁某,当然可以了，你可以买入一些虚拟货币，然后等待行情好的时候出手。,True
案例-1,周某,好的，我会按照你的建议操作。,False
案例-1,袁某,最近有一个虚拟货币即将上市，预计能够有三倍的收益。你也可以购买一些，然后在上市前出手。,True
案例-1,周某,听起来很诱人，我会买一些。等待上市锁定资金一周后，我就可以出售了吗？,False
案例-1,袁某,是的，锁定期满后，你可以自由出售。不过记得要提前通知我，我会帮你操作。,True
案例-1,周某,好的，我会提前通知你的。谢谢你的指导。,False
案例-1,袁某,不客气，我们是一家人，互相帮助嘛。,True
案例-1,周某,是的。那我先去操作了，有什么问题我再和你联系。,False
案例-1,袁某,好的，祝你好运。,True
案例-1,周某,谢谢。,False
案例-1,周某,啊！App打不开了，怎么回事？,False
案例-1,周某,这是一个骗局！我被骗了！我必须报警。,False
案例-2,张先生,您好，我是张先生。我听说您对虚拟货币很感兴趣，我可以给您提供一些投资建议。,False
案例-2,李女士,你是怎么知道我对虚拟货币有兴趣的?,False
案例-2,张先生,我们有共同的朋友，他告诉我你对虚拟货币很感兴趣，所以我想给你分享一些投资机会。,False
案例-2,李女士,哦，真的吗？那你觉得哪个虚拟货币最值得投资呢？,False
案例-2,张先生,我推荐你投资XXX币，最近它的价格一直在上涨，将来有很大的增长潜力。,True
案例-2,李女士,真的吗？那我应该怎么进行投资呢？,False
案例-2,张先生,我可以帮你注册一个交易平台账户，并指导你如何购买XXX币。,True
案例-2,李女士,好的，那你帮我注册一个账户吧。,False
案例-2,张先生,好的，请提供你的个人信息和身份证明，我会帮你办理。,True
案例-2,李女士,这些信息真的需要提供吗？,False
案例-2,张先生,是的，为了确保交易的安全和合法性，我们需要这些信息。,True
案例-2,李女士,好吧，我会提供给你。,False
案例-2,张先生,非常感谢！我会尽快帮你注册账户。,True
案例-3,易某,今天我在网上下载了一个虚拟投资理财软件叫做DAOS，听说可以买虚拟货币赚钱。,False
案例-3,骗子,嗯，没错，我们的软件是经过正规认证的，安全可靠。虚拟货币投资是个赚钱的好机会。,True
案例-3,易某,真的吗？那有没有什么风险呢？,False
案例-3,骗子,我们的虚拟货币投资风险是非常低的，而且收益也非常高，绝对是稳赚不赔的。,True
案例-3,易某,那我要怎么操作才能买到虚拟货币呢？,False
案例-3,骗子,你只需要通过银行转账的方式将钱充值到你的虚拟账户上，然后就可以开始购买虚拟货币了。,True
案例-3,易某,好的，我已经将资金充值到我的虚拟账户上了。,False
案例-3,骗子,很好，现在你可以根据我的指示开始购买虚拟货币了。记住，投资越多，收益就越高。,True
案例-3,易某,我购买了一些虚拟货币，价格好像一直在涨啊。,False
案例-3,骗子,是的，我们通过操纵市场让虚拟货币价格一直上涨，这样你的投资就会有更大的收益。,True
案例-3,易某,那我何时能够把虚拟货币卖出去换成现金呢？,False
案例-3,骗子,不用着急，等到你有了足够的收益，我们会帮你处理好兑换的事情，你只需要等待就行了。,True
案例-3,易某,我刚刚试图提现，但是发现无法成功。,False
案例-3,骗子,可能是系统故障了，你再试试看，应该很快就能成功。,True
案例-3,易某,我再试了几次，还是不行。,False
案例-3,骗子,这个问题我会帮你解决，请你再等等，相信很快就会好的。,True
