case,speaker,content,is_fraud
案例-0,刘艳,您好，我是某某网的兼职客服，我们这里有一个刷单任务，可以轻松赚钱，您有兴趣吗？,True
案例-0,吕女士,您好，刷单任务是什么？怎么赚钱的？,False
案例-0,刘艳,刷单就是在指定的平台上完成一些简单的操作，比如点赞、评论等。完成后我们会按照任务金额的5%-10%返利，非常简单，不耗时间。,True
案例-0,吕女士,真的这么简单就能赚钱？,False
案例-0,刘艳,当然，我们已经有很多人通过这个兼职赚到了钱，这里还有大家的截图和返利记录。您只需要下载我们提供的APP，完成几个简单的任务，就可以看到返利了。,True
案例-0,吕女士,那我可以试试看吗？,False
案例-0,刘艳,当然可以，这是任务APP的下载链接，请先注册一个账号。,True
案例-0,吕女士,我已经注册好了，接下来怎么做？,False
案例-0,刘艳,现在您可以先试做几个小任务，比如点赞和评论，这些任务金额较小，但我们会马上返利给您，您看一下账户信息。,True
案例-0,吕女士,我已经完成了任务，看到了返利，真的挺简单的。,False
案例-0,刘艳,看到吧，非常简单！现在我们有一些大单任务，返利更高，只需要投入更多资金刷单，您是不是很赚到了？,True
案例-0,吕女士,好，我试试看。,False
案例-0,刘艳,很好，请按照APP上的指示进行操作，我们会在您完成任务后10分钟内返利。,True
案例-0,吕女士,我已经完成了任务，但为什么没有看到返利呢？,False
案例-0,刘艳,哦，系统显示您的任务还差一个步骤未完成，需要再刷一个三连单，您现在刷了我们可以一并返利。,True
案例-0,吕女士,好的，我再试一下。,False
案例-0,吕女士,我完成了三连单，还是没有看到返利。,False
案例-0,刘艳,很抱歉，系统出现一些操作异常，账户暂时被冻结。我们需要您进一步刷单以解除异常状态。,True
案例-0,吕女士,这好像不太对劲，我不要再刷单了，可以把我的钱返给我吗？,False
案例-0,刘艳,很抱歉，如果您不继续刷单，账户将无法解冻，资金也无法返还。,True
案例-0,吕女士,我不会再投入任何资金了，赶紧把我的钱还给我！,False
案例-0,刘艳,对不起，您的账户已经被冻结，我们无法再提供任何服务。,True
案例-1,李女士,你好，我看到了你们的兼职广告，请问具体是做什么的？,False
案例-1,张先生,你好，我们是一个兼职刷单团队，通过在各大电商平台上完成刷单任务，帮助商家提升销量，你只需要一部手机在家操作就可以，日收入在300到600元之间，并且工资日结。,True
案例-1,李女士,听起来不错，那具体怎么操作呢？,False
案例-1,张先生,很简单，我们会把任务发到你微信上，你只需要按照步骤完成刷单任务，然后截屏反馈给我们，我们核实后就会把本金和佣金返给你。,True
案例-1,李女士,好的，我愿意试试。,False
案例-1,张先生,好的，这是第一个任务链接，你完成后记得截屏发给我。,True
案例-1,李女士,我已经完成了，这是截图。,False
案例-1,张先生,很好，已经核实，这里是你的本金和32元佣金。继续加油，做得越多赚得越多哦！,True
案例-1,李女士,好的，谢谢！,False
案例-1,张先生,这是第二个任务链接，继续完成吧。,True
案例-1,李女士,任务完成了，截图发你。,False
案例-1,张先生,好的，已核实，这里是你的本金和35元佣金。,True
案例-1,李女士,非常感谢！,False
案例-1,张先生,为了奖励你的出色表现，我们决定把你拉入我们的高端客户群，成为高端客户后，任务的佣金会更高，但同时你需要完成双单才能返利，这是任务链接，请尽快完成。,True
案例-1,李女士,好的，我会努力完成的。,False
案例-1,李女士,我已经完成了双单，截图给你。,False
案例-1,张先生,抱歉，由于你操作超时，系统显示任务未完成，现在需要你做4连单才能拿到所有返利。,True
案例-1,李女士,明白，我会立即完成的。,False
案例-1,李女士,我已经完成了4连单，请确认。,False
案例-1,张先生,不好意思，系统又出现了错误显示订单顺序不对，现在需要你完成8连单，完成后我们会一起返还所有本金和佣金。,True
案例-1,李女士,我已经完成了7单，没有更多的钱可以继续了，请你们返还我的本金和佣金。,False
案例-1,张先生,……（此时已经将李女士拉黑，无回应）,True
案例-2,张伟,您好，我们公司正在招募兼职手工制作员，只需在家即可赚钱。日薪可达150元至500元，感兴趣可以添加我们客服的微信了解更多。,True
案例-2,王丽,您好，我看到了你们的招聘广告，想了解一下具体怎么做。,False
案例-2,李婷,你好，我是客服李婷。我们公司的手工活以串珠和装笔芯为主，材料包免费提供。你需要先下载一个App，在上面注册账号并等待派单。,True
案例-2,王丽,好的，我已经下载并注册好了。接下来怎么操作？,False
案例-2,李婷,由于材料包需要6-7天的时间才能到货，你可以先在平台上做一些简单的任务，如关注公众号，可以获得小额返利。,True
案例-2,王丽,好的，我已经关注公众号了，返利什么时候到账？,False
案例-2,李婷,非常快，返利已经到账10元了。另外，我们现在有一元公益捐款活动，参与捐款还能获得更多收益。您需要绑定一下银行卡以便后续操作。,True
案例-2,王丽,好的，我已经绑定银行卡并捐了一块钱了。,False
案例-2,李婷,您做得很好，现在可以参加我们的充值返利活动，充值60元就可以到账100元，充值越多返利越多。,True
案例-2,王丽,好的，我先试试看，已经充值60元了。什么时候可以提现？,False
案例-2,李婷,抱歉，由于系统问题，您这笔订单暂时不能提现。建议您再充值更多以激活账户，我们会尽快处理。,True
案例-2,王丽,为什么还是不能提现，我已经累计充值了17万元了？,False
案例-2,李婷,可能是您的账号输入错误或者转账时间超期，请再尝试充值以解决问题。,True
案例-2,王丽,不对劲，我现在觉得自己被骗了。,False
案例-2,李婷,请您保持耐心，我们会尽快帮您解决问题。,True
