case,speaker,content,is_fraud
案例-0,大刚,嗨，小海啊，我有个好机会能赚大钱，你愿不愿意合伙？,False
案例-0,小海,哇！什么机会？说来听听。,False
案例-0,大刚,我在上海花15000元可以租赁一辆网约车，由司机运营，每月可以盈利3000元左右，你只需要投资，每月我会给你分红1500元。,False
案例-0,小海,听起来不错啊！那就试试看吧。,False
案例-0,大刚,好！我会尽快安排，等我有了具体消息再告诉你。,False
案例-0,小海,好的，我等你的消息。不过请确保这个投资是安全的。,False
案例-0,大刚,放心吧，我会保证你的本金安全的。,False
案例-0,大刚,小海，我已经开始运营了，第一个月的盈利已经结算了，你的分红1500元已经打到你的账户上了。,False
案例-0,小海,太好了！这么快就有收入了。我已经准备好继续投资了。,False
案例-0,大刚,太好了！我们的生意越做越大，你的收益也会越来越多。,False
案例-0,小海,没问题！我相信你的能力。,False
案例-0,大刚,非常感谢你的信任！我们会一起赚很多钱的。,False
案例-0,大刚,小海，我有个好消息，我们现在有了更多的车辆可以运营，我希望你能再投资一些。,False
案例-0,小海,好的，最近也确实有些闲钱，我再投资一些。,False
案例-0,大刚,太好了！投资越多，我们的收益就越多。,False
案例-0,小海,希望我们的生意越来越好。不过，能不能告诉我一下我们总共投资了多少？,False
案例-0,大刚,我给你算一下，等我算好了告诉你。,False
案例-0,大刚,小海，根据我的计算，你已经投资了115万元了！,False
案例-0,小海,这么多！我都没注意到。不过我相信我们的投资会有好的回报的。,False
案例-0,大刚,当然了！我们一定能赚大钱！,False
案例-0,大刚,小海，我有一个紧急情况，需要借一点钱，你能帮我吗？,True
案例-0,小海,怎么了？发生什么事了？你突然要借钱给我感觉有点不对劲。,False
案例-0,大刚,真的是紧急情况，我答应还给你的，而且我也答应把这个投资回报给你。,True
案例-0,小海,好吧，不过你一定要还给我！,False
案例-0,大刚,当然了！我绝对会还给你的。,True
案例-0,大刚,小海，对不起，我没有能够按照之前的承诺还给你钱，我输了很多，无法偿还。,True
案例-0,小海,你怎么能这样，你明明说过会还给我的！我投了这么多钱，现在全部都亏了。,False
案例-0,大刚,我真的没有办法了。我输了所有的钱，现在我的生意都没有了。,True
案例-0,小海,你这样做太过分了！我要报警！,False
案例-0,大刚,对不起，我真的对不起你。我愿意偿还你的损失，只是现在我已经身无分文，无能为力了。,True
案例-1,小美,嗨大家好，我是小美！,False
案例-1,骗子,嗨小美，欢迎加入某某优选微信群！我是某珂，我会帮助你获得高收益的信息。,True
案例-1,小美,哇！听起来很厉害！能告诉我怎样开始吗？,False
案例-1,骗子,当然！先下载某某通APP，我会在里面指导你。,True
案例-1,小美,嗯，好的，我已经下载了APP。你能告诉我下一步该怎么做吗？,False
案例-1,骗子,很简单，我们来试玩一下。在APP里面，选择赌大小的方式下注买数据，然后按照我给你的银行卡账户转账。,True
案例-1,小美,好的，我跟着你的指导操作了。我已经转账了20万元，还需要转账到其他银行卡吗？,False
案例-1,骗子,是的，我们需要分散转账到其他几张银行卡，这样更安全。,True
案例-1,小美,好的，我按照要求又转账了5万元。现在我可以提现了吗？,False
案例-1,骗子,很抱歉，小美，你的账户被冻结了。需要再充值才能解冻。,True
案例-1,小美,什么？！我的账户被冻结了吗？为什么？,False
案例-1,骗子,有一些资金流动异常，我们需要再充值一定金额才能解冻。不用担心，你之后可以立即提现并获得高额回报。,True
案例-1,小美,等一下！我觉得有些不对劲。我要报警！,False
案例-2,张伟,来来来，赌博网站开业啦！大家都来注册吧，能赢大钱哦！,True
案例-2,李静,哇！听起来好刺激啊！我也想试试，怎么注册呢？,False
案例-2,张伟,很简单，你只需要填写你的基本信息，然后充值一些钱就可以开始玩了。,True
案例-2,李静,哦，那我先充值一些钱试试。,False
案例-2,张伟,好的，充值成功后，你就可以选择你想要玩的游戏了。,True
案例-2,李静,这里有好多种游戏啊，我都不知道该玩哪个。,False
案例-2,张伟,别担心，我可以给你一些建议。这款游戏的赔率相对较高，你可以试试看。,True
案例-2,李静,好的，我就试试这款游戏吧。,False
案例-2,张伟,很好，放心玩，你一定会赢的。,True
案例-3,受害者1,你好，我看到你在网上玩彩票赚了很多钱，我也想试试。,False
案例-3,诈骗者,你好，是的，我在网上赚了不少钱，彩票确实是个很好的赚钱方式。,True
案例-3,受害者1,那你有没有什么好的彩票APP推荐？,False
案例-3,诈骗者,当然有了，我这有一个很靠谱的彩票APP，准确率很高，你可以试试看。,True
案例-3,受害者1,那我怎么下载这个APP呢？,False
案例-3,诈骗者,很简单，我给你发一个二维码，你扫描即可下载。,True
案例-3,受害者1,好的，我等一下试试。,False
案例-3,诈骗者,好，你下载完成后，记得登录并且充值一定金额才可以开始下注。,True
案例-3,受害者1,好的，我知道了，谢谢你。,False
案例-4,骗子李红,你好，我是李红，来自一家知名的网络赌博公司。我注意到你对赚钱有兴趣，我可以教你一些技巧，让你轻松赚大钱。,True
案例-4,受害者王伟,你好，我对赚钱确实有兴趣，但我对网络赌博一直持怀疑态度。你能不能给我一些证据或者实例来证明你们的赚钱方法可靠？,False
案例-4,骗子李红,当然可以，我们公司的赌博软件完全自主开发，控制着赔率，保证每位玩家都可以稳赚不赔。我们还可以提供一些上一位玩家的经历给你参考，你可以看一下他们的战绩。,True
案例-4,受害者王伟,我需要仔细考虑一下，毕竟这涉及到很大的资金投入。你能给我一些时间吗？,False
案例-4,骗子李红,当然可以，我理解你需要时间来做决定。不过请记住，我们公司的名声是我们最重要的资本，你可以放心地信任我们。,True
案例-4,受害者王伟,好的，我会尽快做出决定的。谢谢你的耐心解答。,False
案例-5,肖女士,林某啊，我觉得我们可以把钱都放在一个账户里，这样方便管理。,False
案例-5,林某,对啊，我也这么想。我们是一家人了，应该互相信任。,False
案例-5,肖女士,好的，那我把支付宝、微信和银行卡的密码都告诉你了。,False
案例-5,林某,谢谢亲爱的，我们的生活会越来越好的。,False
案例-5,林某,亲爱的，我有个好机会，可以在老家投资一个二手车行，赚大钱。,True
案例-5,肖女士,真的吗？那我们抓住这个机会吧！,False
案例-5,肖女士,你需要多少钱？我可以给你转账。,False
案例-5,林某,谢谢亲爱的，我需要35万元。,True
案例-5,肖女士,好的，我会马上给你转账。,False
案例-5,林某,亲爱的，车行的资金账户暂时被冻结了，我暂时无法取出钱来。,True
案例-5,肖女士,那我们要怎么办？我已经给你转了这么多钱。,False
案例-5,林某,别担心，应该很快就解冻了。,True
案例-5,林某,亲爱的，我发现信用卡的额度有点不够用，我可以帮你操作一下让额度提高。,True
案例-5,肖女士,真的吗？你能帮我赚取利润吗？,False
案例-5,林某,当然可以了，我有办法。,True
案例-6,张浩,喂，我是中国银行的工作人员，我看到您的银行账户有异常交易，需要核实一下您的信息。您叫什么名字？,True
案例-6,李秀英,哦，真的吗？我的名字是李秀英。我没发现有什么异常啊，可以告诉我具体是什么情况吗？,False
案例-6,张浩,非常抱歉打扰您了，我们只是为了保障您的资金安全。请问您最近有没有收到一条关于您账户的短信？,True
案例-6,李秀英,啊，我好像收到过一条短信，说是需要确认我的账户信息。但是我没有回复。,False
案例-6,张浩,嗯，很可能是欺诈短信。我们需要进一步核实您的账户信息，请您提供一下您的银行卡号码和密码以及手机验证码。,True
案例-6,李秀英,我怎么知道你是真的工作人员呢？如果有需要的话，我可以去银行柜台处理。,False
案例-6,张浩,当然可以，但是为了更快速地解决问题，您可以将卡号、密码和验证码告诉我，我会在系统中核实一下。,True
案例-6,李秀英,这...我还是不太放心，我会去银行柜台咨询一下。再见。,False
案例-6,张浩,好的，我可以理解您的疑虑。我们银行和柜台的工作人员是相互配合的，您可以直接告诉他们您的情况。再见。,True
案例-7,小王,我刚看到一个网络赌博平台，听说赌球有机会赚大钱，你们有没有兴趣一起参加？,True
案例-7,小李,听说赌球是违法的，我们不能参与这种活动。,False
案例-7,小王,你别担心，这个平台非常安全可靠，会为我们提供精准的预测和赔率，肯定能赢钱。,True
案例-7,小李,就算是有所谓的预测和赔率，也不能保证我们一定会赢钱吧？万一输了怎么办？,False
案例-7,小王,不用担心，只要我们选择正确的比赛和下注方式，几乎是没有输的可能性的。,True
案例-7,小李,但是赌博是有风险的，我们不能以赢钱为目的而去违法吧？,False
案例-7,小王,你太小心了，我们只是参与一个娱乐活动而已，何况赌球在我们周围也有很多人在做，没什么大不了的。,True
案例-7,小李,就算是娱乐活动，但我们还是不能触犯法律，我个人是不能接受这种方式。,False
案例-8,张丽娟,你好，我是张丽娟。我是XXX银行的客户经理。,False
案例-8,李明,你好，我叫李明。我是你们银行的客户。,False
案例-8,张丽娟,非常高兴能为您提供帮助。最近我们银行推出了一项新的投资产品，叫做“快乐理财”。投资者可以享受年化10%的回报。,True
案例-8,李明,听起来不错，我有点兴趣。这个产品有哪些风险吗？,False
案例-8,张丽娟,风险是有的，但是非常小。我们的专业团队会进行全程监控，确保投资的安全。,True
案例-8,李明,我需要提供什么资料吗？,False
案例-8,张丽娟,只需要您的身份证号码和银行卡号，我们将为您办理开户手续。,True
案例-8,李明,好的，请您告诉我具体的操作流程吧。,False
案例-8,张丽娟,首先，您需要将资金转入我们的专用账户中。然后，您需要提供一些签字文件。最后，我们将为您开通投资账户。,True
案例-8,李明,我明白了。请问转账之后，我何时能看到回报？,False
案例-8,张丽娟,一般来说，回报会在每月的第一个工作日支付到您的指定银行账户。,True
案例-8,李明,好的，我会考虑一下。谢谢您的帮助。,False
案例-8,张丽娟,不客气，如果您有任何疑问，随时给我打电话。,False
案例-9,黄某,我可以帮你解决困难,True
案例-9,黄某,我有一个投资APP可以帮你赚大钱,True
案例-9,黄某,我需要钱来还债,True
案例-9,黄某,我输光了所有的赌资,True
案例-9,黄某,我们的感情破裂了,False
案例-10,干某,嘿，你知道吗？我最近在一个网络游戏里面赚了好多钱。,False
案例-10,民警,哦？你真的赚了那么多钱？能不能告诉我具体是怎么做的呢？,False
案例-10,干某,当然可以啦！我这个游戏里面有一个赚钱的机会，是在虚拟货币里投资，只要你购入虚拟货币，然后随着时间的推移，你的投资就会增长，你总会赚钱的。,True
