case,speaker,content,is_fraud
案例-160,李华,您好，我这边有一台全新的某品牌礼品机，因为用不上，打算低价出售，您有兴趣吗？,True
案例-160,朱明,您好，我刚好想换手机，请问这台礼品机有具体情况吗？,False
案例-160,李华,当然，这台手机原价7000多，我可以低于市场价3000块卖给您，因为着急出手。,True
案例-160,朱明,这样啊，听起来很不错，那我就买了。我们怎么进行交易？,False
案例-160,李华,我可以通过快递发给您，您先付钱，然后我把物流单号给您发过去。,True
案例-160,朱明,好的，我通过平台付钱给您吧。,False
案例-160,李华,感谢您的信任，我马上安排发货。,False
案例-160,朱明,几天了，我只收到了充电器和手机膜，这是什么情况？,False
案例-160,李华,非常抱歉，可能是快递发错了。我那台礼品机已经寄给了其他买家，要不您补齐差价按市场价购买台新机？,True
案例-160,朱明,唉，既然这样，我也只好补差价了，请尽快发货给我。,False
案例-160,朱明,等了这么久，还是没有新机，怎么回事？,False
案例-160,李华,实在不好意思，我现在欠了别人的钱，被堵在店里，您能借我5000块钱让我脱身吗？,True
案例-160,朱明,这......好吧，希望您早日解决问题，尽快发货。,False
案例-160,李华,您真是太好了，我这边有货源渠道，可以便宜进更多货，您再借我些钱，到时一起补偿您。,True
案例-160,朱明,我再借给您2万，不过请务必尽快发货，事后归还这些钱。,False
案例-160,朱明,加起来已经4万多了，依然没有收到手机，也没有见到钱回来，您到底怎么回事？,False
案例-160,李华,我真的在努力处理中，请再给我一些时间。,True
案例-161,鲍丽华,你好，我看到你对我挂出的星巴克星礼卡有兴趣？,False
案例-161,王志强,是的，我很感兴趣，请问这张卡的面额是多少？,False
案例-161,鲍丽华,这张卡的面额是200元，你需要吗？,False
案例-161,王志强,非常需要，那我就拍下了，可以直接给我卡号和密码吗？,True
案例-161,鲍丽华,你已经拍下了？那我给你卡号和密码。,False
案例-161,鲍丽华,卡号是123456789，密码是987654321,False
案例-161,鲍丽华,怎么还没看到你的付款呢？,False
案例-161,王志强,哦，我这边系统还在处理，请耐心等一下。,True
案例-161,鲍丽华,我看你已经看到了消息，但怎么还没付款呢？,False
案例-161,王志强,抱歉，我刚刚在忙，稍等一下就付款。,True
案例-161,鲍丽华,已经过了很久了，你还是没有付款，是不是骗人的？,False
案例-161,王志强,你可以先不要着急，稍后我会处理的。,True
