case,speaker,content,is_fraud
案例-0,李华,哎呀，你们猜猜我今天收到了什么好东西！一个朋友给我发了个红包，里面有个链接，说是可以分享一些正能量给大家。,False
案例-0,王明,哇，红包？太好了！这朋友还真是人好心美啊！那你点开链接了吗？,False
案例-0,李华,点开了，结果进入了一个微商群。里面说可以帮助大家发展副业，通过微信赚取额外收入。,False
案例-0,王明,听起来真不错啊！那你加入了吗？,False
案例-0,李华,当然加入了！群里有很多人自称是成功人士，说可以手把手教我做微商，实现财务自由。,False
案例-0,王明,哇，太厉害了！那他们教你们做些什么呢？,False
案例-0,李华,他们说我要假装美容界的成功人士，跟潜在客户进行聊天。然后按照他们给出的话术引导客户购买美容产品。,False
案例-0,王明,这听起来有点不对劲啊，怎么感觉像是诈骗？你们有没有赚到钱？,False
案例-0,李华,其实我也有这样的疑惑，但是他们说过要耐心等待，说成功需要时间。所以我还没开始赚钱。,False
案例-0,王明,哎，看来真是诈骗啊！这些人玩的真狡猾，利用你们的好心和对财富的向往来骗钱。,False
案例-0,李华,是啊，他们还把这个公司包装成生物科技公司，好像是个正规的企业。可实际上，他们根本没有销售产品的能力。,False
案例-0,王明,这就更危险了，他们可能是拿你们的钱之后就消失了。你要小心啊！我们得报警让警察来查一查。,False
案例-0,李华,是的，我已经向警方举报了。希望他们能早点抓到这些骗子，为更多受害人讨回公道。,False
案例-0,警察,感谢你的举报，我们已经展开调查。请你配合我们的工作，提供所有相关信息。,False
案例-1,小李,嗨，我是小李。有人加我微信，说要做永久广告推广，我想问问你们拉来的广告推广有没有介绍费？,False
案例-1,上家,你好，小李。我们这边是没有介绍费的，但你需要交三百的保证金。如果生意做成了，每个人都可以赚2200元。,True
案例-1,小李,哦，那好吧。我可以信任你们吗？,False
案例-1,上家,当然可以信任我们，我们是很正规的，之前这个生意做得很好，大家赚了很多钱。你只需要交三百的保证金，如果生意做不成，我们会退还给你的。,True
案例-1,小李,那好吧，我会把保证金转给你们。,False
案例-1,上家,好的，非常感谢你。转过来后，请给我截图确认一下吧。,True
案例-1,小李,好的，我会给你截图的。,False
案例-1,上家,谢谢你的合作。我们会尽快给你安排推广的事情。,True
案例-1,小李,好的，谢谢。,False
案例-1,小李,你好，我今天想问一下推广的事情，怎么还没有进展？,False
案例-1,上家,抱歉，因为最近公司财务出了点问题，暂时不能推进项目。我们会尽快解决。,True
案例-1,小李,那我的保证金呢？我也想退还给我了。,False
案例-1,上家,抱歉，因为公司财务的原因，暂时无法退还保证金。,True
案例-1,小李,你们之前说过如果生意做不成会退还的啊！怎么现在变了？,False
案例-1,上家,抱歉，这个情况是临时变动，公司财务决定不退还保证金。,True
案例-1,小李,我明白了，原来你们是一伙的。你们就是专门骗人的。,False
案例-2,小丽,你好，我是文毅斌，很高兴认识你,False
案例-2,小美,你好，我是小美，也很高兴认识你,False
案例-2,小丽,我是一个微商，主要代购化妆品和其他商品，同时也可以代理销售和代办签证,True
案例-2,小美,听起来很不错，你有什么优惠吗？,False
案例-2,小丽,当然有，我可以给你一些赠品和特价商品，还可以帮你安排出国旅游,True
案例-2,小美,那太好了，我很感兴趣，你是怎么收款的？,False
案例-2,小丽,我一般使用支付宝和银行卡收款,False
案例-2,小美,好的，那我先垫付款项，然后你给我发送商品和服务，对吗？,False
案例-2,小丽,是的，我们可以先试一个小额的交易，如果你满意的话，我会继续给你提供更多服务,True
案例-2,小美,可以，那就试一试吧,False
案例-2,小丽,好的，我会把款项用支付宝转给你，请确认收到后再发货,True
案例-2,小美,好的，我会尽快确认并付款,False
案例-2,小丽,谢谢，我会尽快为你安排,True
案例-2,小美,今天我收到货了，很满意，谢谢你的服务,False
案例-2,小丽,太好了，谢谢你的支持，我会继续给你提供更好的服务,True
案例-2,小美,好的，我会继续和你合作的,False
